title,discounted_price,normal_price,url
TWS Bluetooth Earphone with Fingerprint Touch Led Display Headset Earbuds,$11.82,$21.55 ,https://www.cigabuy.com/tws-bluetooth-earphone-with-fingerprint-touch-led-display-headset-earbuds-p-19602.html
2 in 1 Car Ice Water Scraper Snow Removal Hand Automotive Tool Snow Brush,$2.04,$2.04,https://www.cigabuy.com/2-in-1-car-ice-water-scraper-snow-removal-hand-automotive-tool-snow-brush-p-17534.html
Baellerry Mini Pop Up Rfid Wallet Men Slim PU Leather Business Credit Card,$9.30,$9.30,https://www.cigabuy.com/baellerry-mini-pop-up-rfid-wallet-men-slim-pu-leather-business-credit-card-p-19203.html
48-LED Outdoor Motion Sensor Solar Lights,$11.03,$11.03,https://www.cigabuy.com/48-led-outdoor-motion-sensor-solar-lights-p-17572.html
Detachable Adjustable Electric Spray Gun Handheld Latex Paint Spray Gun,$121.95,$121.95,https://www.cigabuy.com/detachable-adjustable-electric-spray-gun-handheld-latex-paint-spray-gun-p-19249.html
Kingsons Style Men's Business Backpack Derm Backpack Men's Computer Bag,$21.61,$69.41 ,https://www.cigabuy.com/kingsons-style-mens-business-backpack-derm-backpack-mens-computer-bag-p-19415.html
Zippered Nylon Mesh Clothes Washing Bag,$0.62,$5.13 ,https://www.cigabuy.com/zippered-nylon-mesh-clothes-washing-bag-p-15594.html
10 x Protective Goggles Fit Over Glasse Prevention of Coronavirus,$5.38,$10.32 ,https://www.cigabuy.com/10-x-protective-goggles-fit-over-glasse-prevention-of-coronavirus-p-18152.html
Baellerry Men Wallet Short Fashion Simple PU Leather Wallet Card Holder,$2.61,$2.61,https://www.cigabuy.com/baellerry-men-wallet-short-fashion-simple-pu-leather-wallet-card-holder-p-18474.html
10 pcs Snore Stopper Silicone Nose Clip Sleeping Device Nasal Dilators,$4.36,$4.36,https://www.cigabuy.com/10-pcs-snore-stopper-silicone-nose-clip-sleeping-device-nasal-dilators-p-18895.html
USB Eletric Fan Humidifying Hydration Water Spray Fan Portable Folding Fan,$26.54,$76.16 ,https://www.cigabuy.com/usb-eletric-fan-humidifying-hydration-water-spray-fan-portable-folding-fan-p-18911.html
Baellerry Men Wallets Short Male Purse With Coin Pocket Card Holder Wallet,$10.08,$10.08,https://www.cigabuy.com/baellerry-men-wallets-short-male-purse-with-coin-pocket-card-holder-wallet-p-19236.html
i7 TWS Bluetooth V5.0 Earphones with Charging Case,$3.64,$3.64,https://www.cigabuy.com/i7-tws-bluetooth-v50-earphones-with-charging-case-p-19748.html
Kangaroo Brand Leather Messenger Bag Man Handbag Chest Bag,$7.14,$17.10 ,https://www.cigabuy.com/kangaroo-brand-leather-messenger-bag-man-handbag-chest-bag-p-18783.html
Cordless Bluetooth Earphone With Bluetooth Speaker Function TWS Earphones,$14.59,$20.62 ,https://www.cigabuy.com/cordless-bluetooth-earphone-with-bluetooth-speaker-function-tws-earphones-p-18721.html
In Ear/ Earhook Style Earphones Sweat-Resistant Sports Earphone Earbuds w/ Mic,$2.03,$2.03,https://www.cigabuy.com/in-ear-earhook-style-earphones-sweat-resistant-sports-earphone-earbuds-w-mic-p-19782.html
Sunglasses Bluetooth 5.0 Earphone Headset X8S Headphones Smart Glasses,$5.74,$19.45 ,https://www.cigabuy.com/sunglasses-bluetooth-50-earphone-headset-x8s-headphones-smart-glasses-p-19313.html
Cotton Scarf Women Solid Color Fringed Scarf,$4.94,$21.22 ,https://www.cigabuy.com/cotton-scarf-women-solid-color-fringed-scarf-p-15423.html
2.4GHz Wireless 1200 DPI Optical Mouse Mice w/ USB 2.0 Receiver,$1.61,$1.61,https://www.cigabuy.com/24ghz-wireless-1200-dpi-optical-mouse-mice-w-usb-20-receiver-p-19757.html
TWS Wireless Bluetooth Earphones Sports Bluethooth Earbuds Ear Head Phones,$13.76,$34.90 ,https://www.cigabuy.com/tws-wireless-bluetooth-earphones-sports-bluethooth-earbuds-ear-head-phones-p-19044.html
JM-PJ1010 10 in 1 Multifunctional Pliers Outdoor Folding Plier With Knife,$17.98,$17.98,https://www.cigabuy.com/jm-pj1010-10-in-1-multifunctional-pliers-outdoor-folding-plier-with-knife-p-14549.html
