rating,number_of_reviews,name
0.0,0,Математическая статистика и А/В тестирование
0.0,0,Calculus through Data & Modeling: Applying Differentiation
5.0,1,Mathematics for Computer Science
0.0,0,"Дискретная математика: подсчеты, графы, случайные блуждания"
0.0,0,Линейные модели с дискретными предикторами
4.7,3,Computational Probability and Inference
0.0,0,Assessment for learning in practice
5.0,1,Algèbre Linéaire (Partie 3)
0.0,0,Bayesian Statistics: Mixture Models
0.0,0,BPMN Meets DMN: Business Process and Decision Modeling
5.0,1,Policy Analysis Using Interrupted Time Series
4.7,3,Discovery Precalculus: A Creative and Connected Approach
0.0,0,Matematica per principianti: insiemi e operazioni elementari
0.0,0,Introduzione ai numeri complessi
0.0,0,Cosa sapere prima di iniziare un corso di Matematica all’Università
5.0,1,Linear Algebra Refresher Course
5.0,3,College Algebra and Problem Solving
4.0,2,Fun with Prime Numbers: The Mysterious World of Mathematics
4.7,6,I Heart Stats: Learning to Love Statistics
5.0,1,Algèbre Linéaire (Partie 2)
3.0,1,Math 101
0.0,0,Einführung in die Mathematik der Algorithmik
2.0,4,SP18:  Time Series Analysis
0.0,0,Take off with Stats in Python
0.0,0,คณิตศาสตร์เพื่อคอมพิวเตอร์ (Mathematics for Computer)
4.0,3,Game Theory II- Dynamic Games
5.0,5,Statistics
5.0,2,Vector and Matrix Algebra
5.0,1,Introduction to Statistics
0.0,0,Введение в дискретную математику
0.0,0,Основы статистики. Часть 3
5.0,4,Functions and Iterations
5.0,4,Random Walks
5.0,3,Ordinary Differential Equations
0.0,0,คณิตเศรษฐศาสตร์และเศรษฐมิติเพื่อการธุรกิจ | Mathematical Economics and Econometrics for Business
0.0,0,Основы статистики
0.0,0,Основы статистики. Часть 2
5.0,4,Introduction to Probability: Part 1 - The Fundamentals
0.0,0,Eigenvectors and Eigenvalues
0.0,0,Initiez-vous à la statistique inférentielle
5.0,2,Algèbre Linéaire (Partie 1)
4.0,1,"Cours préparatoire: Fonctions Trigonométriques, Logarithmiques et Exponentielles"
4.5,2,Applications of Linear Algebra (Part 2)
0.0,0,Einführung in die Graphentheorie
3.7,3,Precalculus
3.3,3,"Introduction to Probability, Statistics, and Random Processes"
4.0,3,Applications of Linear Algebra (Part 1)
5.0,3,Introduction to Statistics: Inference
4.6,7,Introduction to Statistics: Probability
2.6,5,Visualizing Algebra
5.0,2,Differential Equations in Action
5.0,2,Differential Equations: Linear Algebra and NxN Systems of Differential Equations
4.0,7,Street Fighting Mathematics
0.0,0,Обобщенные линейные модели
0.0,0,Differential Calculus through Data and Modeling
0.0,0,Probability: Basic Concepts & Discrete Random Variables
0.0,0,MathTrackX: Integral Calculus
5.0,6,Introduction to Differential Equations
0.0,0,MathTrackX: Probability
0.0,0,MathTrackX: Special Functions
0.0,0,MathTrackX: Differential Calculus
0.0,0,"MathTrackX: Polynomials, Functions and Graphs"
0.0,0,More Fun with Prime Numbers
5.0,7,Calculus 1A: Differentiation
0.0,0,Математические и инструментальные методы машинного обучения
5.0,2,Engineering Calculus and Differential Equations
0.0,0,Cómo Aprender Matemáticas - Para Estudiantes
3.5,2,Combinatorial Mathematics | 组合数学
0.0,0,Mathematical Modelling Basics
4.5,2,Calculus Applied!
0.0,0,Decision Making Under Uncertainty: Introduction to Structured Expert Judgment
5.0,1,Introduction to Probability
4.8,5,Fat Chance: Probability from the Ground Up
0.0,0,RiceX Linear Algebra Part 1
0.0,0,Advanced Linear Algebra: Foundations to Frontiers
0.0,0,Probability and Statistics I:  A Gentle Introduction to Probability
0.0,0,Operations Research: an Active Learning Approach
0.0,0,Introducción al Álgebra Lineal
4.7,3,Pre-University Calculus
0.0,0,Matemáticas esenciales en los números reales y complejos
0.0,0,MathTrackX: Statistics
0.0,0,Matemáticas básicas
5.0,2,Estadística para investigadores: Todo lo que siempre quiso saber
0.0,0,Fundamentos de Álgebra Lineal
0.0,0,Estadística descriptiva
0.0,0,Las matrices y sus aplicaciones
0.0,0,Probabilidad básica
4.0,1,Bases Matemáticas: Integrales
0.0,0,"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations"
0.0,0,Ética en la investigación universitaria
4.0,2,Statistics: Unlocking the World of Data
0.0,0,Introduction to Statistics for Data Science
3.0,2,Essential Math for Machine Learning: Python Edition
0.0,0,Sta(r)tistics: Statistics for everyone (HE)
0.0,0,"A-level Mathematics for Year 13 - Course 1: Functions, Sequences and Series, and Numerical Methods"
3.0,1,Essential Math for Machine Learning: R Edition
5.0,1,คณิตศาสตร์วิศวกรรม II (Engineering Mathematics II)
0.0,0,คณิตศาสตร์สำหรับวิทยาศาสตร์ข้อมูล (Mathematics for Data Science)
0.0,0,Complex Analysis with Physical Applications
0.0,0,Introducción a Matemática II
0.0,0,Become a Linear Algebra Master
5.0,2,Statistics for Business - II
5.0,1,"A-level Mathematics for Year 12 - Course 2: Calculus, Newton’s Laws and Hypothesis Testing"
